image_id,filename,label,label_name,original_height,original_width
0,image_00000.png,1,person,387,516
1,image_00001.png,0,no_person,365,548
2,image_00002.png,1,person,392,511
3,image_00003.png,0,no_person,447,447
4,image_00004.png,0,no_person,447,447
5,image_00005.png,0,no_person,408,490
6,image_00006.png,1,person,365,548
7,image_00007.png,1,person,387,516
8,image_00008.png,0,no_person,387,516
9,image_00009.png,0,no_person,365,548
10,image_00010.png,0,no_person,516,387
11,image_00011.png,0,no_person,387,516
12,image_00012.png,0,no_person,365,548
13,image_00013.png,1,person,387,516
14,image_00014.png,0,no_person,393,509
15,image_00015.png,1,person,365,548
16,image_00016.png,1,person,365,548
17,image_00017.png,1,person,387,516
18,image_00018.png,1,person,387,516
19,image_00019.png,0,no_person,387,516
20,image_00020.png,1,person,364,549
21,image_00021.png,1,person,365,548
22,image_00022.png,0,no_person,447,447
23,image_00023.png,1,person,365,547
24,image_00024.png,1,person,365,548
25,image_00025.png,0,no_person,548,365
26,image_00026.png,1,person,548,365
27,image_00027.png,0,no_person,365,548
28,image_00028.png,1,person,365,548
29,image_00029.png,1,person,380,527
30,image_00030.png,0,no_person,335,597
31,image_00031.png,1,person,387,516
32,image_00032.png,1,person,549,364
33,image_00033.png,1,person,386,518
34,image_00034.png,0,no_person,374,535
35,image_00035.png,1,person,240,320
36,image_00036.png,0,no_person,400,500
37,image_00037.png,1,person,396,505
38,image_00038.png,1,person,548,365
39,image_00039.png,1,person,516,387
40,image_00040.png,1,person,365,548
41,image_00041.png,1,person,365,548
42,image_00042.png,1,person,387,516
43,image_00043.png,1,person,516,387
44,image_00044.png,1,person,365,548
45,image_00045.png,1,person,447,448
46,image_00046.png,1,person,384,520
47,image_00047.png,1,person,365,548
48,image_00048.png,1,person,387,516
49,image_00049.png,1,person,365,548
50,image_00050.png,1,person,355,563
51,image_00051.png,1,person,387,516
52,image_00052.png,0,no_person,374,535
53,image_00053.png,0,no_person,365,548
54,image_00054.png,0,no_person,548,365
55,image_00055.png,0,no_person,382,524
56,image_00056.png,0,no_person,387,516
57,image_00057.png,0,no_person,516,387
58,image_00058.png,1,person,548,365
59,image_00059.png,1,person,548,365
60,image_00060.png,0,no_person,387,516
61,image_00061.png,1,person,387,516
62,image_00062.png,0,no_person,364,549
63,image_00063.png,1,person,500,400
64,image_00064.png,0,no_person,387,516
65,image_00065.png,1,person,387,517
66,image_00066.png,1,person,365,548
67,image_00067.png,1,person,516,387
68,image_00068.png,0,no_person,367,544
69,image_00069.png,1,person,387,516
70,image_00070.png,1,person,387,516
71,image_00071.png,1,person,516,387
72,image_00072.png,0,no_person,370,541
73,image_00073.png,0,no_person,516,387
74,image_00074.png,0,no_person,388,516
75,image_00075.png,0,no_person,387,516
76,image_00076.png,0,no_person,365,548
77,image_00077.png,0,no_person,447,447
78,image_00078.png,0,no_person,394,508
79,image_00079.png,0,no_person,447,447
80,image_00080.png,0,no_person,384,521
81,image_00081.png,0,no_person,387,516
82,image_00082.png,1,person,360,480
83,image_00083.png,0,no_person,353,567
84,image_00084.png,0,no_person,387,516
85,image_00085.png,1,person,387,516
86,image_00086.png,0,no_person,354,566
87,image_00087.png,0,no_person,387,516
88,image_00088.png,1,person,547,366
89,image_00089.png,1,person,365,548
90,image_00090.png,0,no_person,387,516
91,image_00091.png,1,person,365,548
92,image_00092.png,0,no_person,366,546
93,image_00093.png,0,no_person,365,547
94,image_00094.png,1,person,387,516
95,image_00095.png,1,person,387,516
96,image_00096.png,0,no_person,422,473
97,image_00097.png,1,person,365,548
98,image_00098.png,0,no_person,365,548
99,image_00099.png,0,no_person,387,516
100,image_00100.png,1,person,483,414
101,image_00101.png,1,person,387,516
102,image_00102.png,0,no_person,375,533
103,image_00103.png,1,person,420,476
104,image_00104.png,1,person,506,395
105,image_00105.png,0,no_person,335,596
106,image_00106.png,1,person,516,387
107,image_00107.png,1,person,365,548
108,image_00108.png,0,no_person,387,516
109,image_00109.png,0,no_person,408,490
110,image_00110.png,0,no_person,366,547
111,image_00111.png,0,no_person,388,516
112,image_00112.png,0,no_person,387,516
113,image_00113.png,1,person,435,460
114,image_00114.png,1,person,387,516
115,image_00115.png,0,no_person,320,500
116,image_00116.png,1,person,365,548
117,image_00117.png,0,no_person,548,365
118,image_00118.png,0,no_person,365,548
119,image_00119.png,1,person,364,550
120,image_00120.png,0,no_person,365,548
121,image_00121.png,1,person,516,387
122,image_00122.png,1,person,365,548
123,image_00123.png,0,no_person,335,596
124,image_00124.png,0,no_person,385,520
125,image_00125.png,1,person,365,548
126,image_00126.png,1,person,365,548
127,image_00127.png,1,person,387,516
128,image_00128.png,1,person,365,548
129,image_00129.png,1,person,447,447
130,image_00130.png,1,person,239,500
131,image_00131.png,0,no_person,366,546
132,image_00132.png,0,no_person,387,516
133,image_00133.png,1,person,516,388
134,image_00134.png,0,no_person,361,555
135,image_00135.png,1,person,516,387
136,image_00136.png,0,no_person,365,548
137,image_00137.png,1,person,500,400
138,image_00138.png,0,no_person,365,548
139,image_00139.png,0,no_person,365,548
140,image_00140.png,0,no_person,548,365
141,image_00141.png,0,no_person,447,447
142,image_00142.png,1,person,516,387
143,image_00143.png,1,person,288,352
144,image_00144.png,0,no_person,516,387
145,image_00145.png,0,no_person,365,548
146,image_00146.png,1,person,320,625
147,image_00147.png,0,no_person,387,517
148,image_00148.png,1,person,387,516
149,image_00149.png,1,person,516,387
150,image_00150.png,0,no_person,387,516
151,image_00151.png,0,no_person,387,516
152,image_00152.png,1,person,562,356
153,image_00153.png,1,person,387,516
154,image_00154.png,1,person,365,548
155,image_00155.png,0,no_person,548,365
156,image_00156.png,1,person,529,378
157,image_00157.png,1,person,387,516
158,image_00158.png,1,person,387,516
159,image_00159.png,0,no_person,335,596
160,image_00160.png,0,no_person,387,516
161,image_00161.png,0,no_person,366,546
162,image_00162.png,0,no_person,437,457
163,image_00163.png,1,person,387,516
164,image_00164.png,0,no_person,415,482
165,image_00165.png,0,no_person,393,509
166,image_00166.png,1,person,516,387
167,image_00167.png,1,person,387,516
168,image_00168.png,0,no_person,365,548
169,image_00169.png,1,person,387,516
170,image_00170.png,0,no_person,387,516
171,image_00171.png,0,no_person,387,517
172,image_00172.png,0,no_person,387,516
173,image_00173.png,0,no_person,365,548
174,image_00174.png,0,no_person,387,516
175,image_00175.png,1,person,365,548
176,image_00176.png,0,no_person,408,490
177,image_00177.png,0,no_person,387,516
178,image_00178.png,1,person,335,596
179,image_00179.png,1,person,365,548
180,image_00180.png,1,person,373,536
181,image_00181.png,0,no_person,365,548
182,image_00182.png,1,person,364,549
183,image_00183.png,0,no_person,519,386
184,image_00184.png,1,person,548,365
185,image_00185.png,1,person,367,546
186,image_00186.png,1,person,365,548
187,image_00187.png,1,person,387,516
188,image_00188.png,0,no_person,387,516
189,image_00189.png,1,person,516,387
190,image_00190.png,0,no_person,365,548
191,image_00191.png,1,person,336,596
192,image_00192.png,1,person,335,596
193,image_00193.png,1,person,364,549
194,image_00194.png,0,no_person,387,516
195,image_00195.png,0,no_person,548,365
196,image_00196.png,1,person,347,577
197,image_00197.png,0,no_person,387,516
198,image_00198.png,0,no_person,365,548
199,image_00199.png,0,no_person,364,549
200,image_00200.png,0,no_person,365,548
201,image_00201.png,1,person,400,500
202,image_00202.png,1,person,365,548
203,image_00203.png,0,no_person,447,447
204,image_00204.png,0,no_person,365,548
205,image_00205.png,1,person,365,548
206,image_00206.png,0,no_person,430,465
207,image_00207.png,0,no_person,387,516
208,image_00208.png,1,person,387,516
209,image_00209.png,1,person,387,516
210,image_00210.png,1,person,435,460
211,image_00211.png,1,person,470,426
212,image_00212.png,0,no_person,387,516
213,image_00213.png,0,no_person,375,500
214,image_00214.png,1,person,365,548
215,image_00215.png,1,person,385,520
216,image_00216.png,1,person,387,516
217,image_00217.png,1,person,548,365
218,image_00218.png,0,no_person,366,546
219,image_00219.png,0,no_person,516,387
220,image_00220.png,1,person,387,516
221,image_00221.png,1,person,447,447
222,image_00222.png,0,no_person,261,767
223,image_00223.png,0,no_person,389,514
224,image_00224.png,0,no_person,387,516
225,image_00225.png,0,no_person,335,596
226,image_00226.png,0,no_person,387,516
227,image_00227.png,0,no_person,365,548
228,image_00228.png,1,person,387,516
229,image_00229.png,0,no_person,361,555
230,image_00230.png,0,no_person,387,516
231,image_00231.png,1,person,387,516
232,image_00232.png,0,no_person,378,529
233,image_00233.png,0,no_person,447,447
234,image_00234.png,0,no_person,365,548
235,image_00235.png,1,person,387,516
236,image_00236.png,0,no_person,366,547
237,image_00237.png,1,person,387,516
238,image_00238.png,0,no_person,404,495
239,image_00239.png,0,no_person,350,571
240,image_00240.png,1,person,400,500
241,image_00241.png,0,no_person,387,516
242,image_00242.png,0,no_person,365,548
243,image_00243.png,1,person,344,581
244,image_00244.png,1,person,399,501
245,image_00245.png,0,no_person,364,549
246,image_00246.png,1,person,365,548
247,image_00247.png,1,person,548,365
248,image_00248.png,0,no_person,365,548
249,image_00249.png,0,no_person,387,516
250,image_00250.png,1,person,378,529
251,image_00251.png,0,no_person,425,470
252,image_00252.png,0,no_person,387,516
253,image_00253.png,1,person,517,387
254,image_00254.png,0,no_person,516,387
255,image_00255.png,0,no_person,387,517
256,image_00256.png,0,no_person,375,534
257,image_00257.png,0,no_person,598,334
258,image_00258.png,0,no_person,365,548
259,image_00259.png,0,no_person,353,567
260,image_00260.png,1,person,516,387
261,image_00261.png,1,person,548,365
262,image_00262.png,1,person,335,596
263,image_00263.png,1,person,447,447
264,image_00264.png,1,person,341,587
265,image_00265.png,1,person,516,387
266,image_00266.png,1,person,387,517
267,image_00267.png,1,person,364,549
268,image_00268.png,1,person,498,402
269,image_00269.png,1,person,365,547
270,image_00270.png,1,person,548,365
271,image_00271.png,1,person,546,366
272,image_00272.png,1,person,365,548
273,image_00273.png,0,no_person,398,503
274,image_00274.png,1,person,365,548
275,image_00275.png,0,no_person,387,516
276,image_00276.png,0,no_person,363,551
277,image_00277.png,0,no_person,516,387
278,image_00278.png,1,person,447,447
279,image_00279.png,1,person,375,533
280,image_00280.png,1,person,548,365
281,image_00281.png,0,no_person,387,516
282,image_00282.png,0,no_person,447,447
283,image_00283.png,1,person,549,364
284,image_00284.png,1,person,394,508
285,image_00285.png,1,person,387,516
286,image_00286.png,0,no_person,500,318
287,image_00287.png,1,person,364,549
288,image_00288.png,1,person,387,516
289,image_00289.png,1,person,548,365
290,image_00290.png,0,no_person,447,447
291,image_00291.png,1,person,365,548
292,image_00292.png,1,person,387,516
293,image_00293.png,0,no_person,365,548
294,image_00294.png,1,person,516,388
295,image_00295.png,1,person,387,516
296,image_00296.png,1,person,365,548
297,image_00297.png,1,person,365,548
298,image_00298.png,0,no_person,387,516
299,image_00299.png,0,no_person,364,549
300,image_00300.png,1,person,447,447
301,image_00301.png,1,person,387,516
302,image_00302.png,0,no_person,516,387
303,image_00303.png,1,person,364,549
304,image_00304.png,0,no_person,364,549
305,image_00305.png,1,person,447,447
306,image_00306.png,0,no_person,438,272
307,image_00307.png,1,person,541,370
308,image_00308.png,1,person,548,365
309,image_00309.png,0,no_person,365,548
310,image_00310.png,1,person,447,447
311,image_00311.png,0,no_person,365,548
312,image_00312.png,0,no_person,359,558
313,image_00313.png,0,no_person,447,447
314,image_00314.png,1,person,443,452
315,image_00315.png,1,person,376,532
316,image_00316.png,0,no_person,356,562
317,image_00317.png,1,person,352,568
318,image_00318.png,1,person,352,569
319,image_00319.png,1,person,365,548
320,image_00320.png,0,no_person,368,497
321,image_00321.png,1,person,387,516
322,image_00322.png,1,person,365,548
323,image_00323.png,1,person,335,597
324,image_00324.png,0,no_person,365,548
325,image_00325.png,0,no_person,380,526
326,image_00326.png,0,no_person,387,516
327,image_00327.png,1,person,366,547
328,image_00328.png,0,no_person,364,550
329,image_00329.png,1,person,364,549
330,image_00330.png,1,person,365,548
331,image_00331.png,1,person,364,550
332,image_00332.png,1,person,387,516
333,image_00333.png,0,no_person,387,516
334,image_00334.png,0,no_person,387,517
335,image_00335.png,1,person,365,548
336,image_00336.png,0,no_person,447,447
337,image_00337.png,1,person,365,548
338,image_00338.png,0,no_person,366,547
339,image_00339.png,1,person,387,516
340,image_00340.png,1,person,387,516
341,image_00341.png,1,person,387,516
342,image_00342.png,0,no_person,387,516
343,image_00343.png,0,no_person,516,387
344,image_00344.png,0,no_person,388,516
345,image_00345.png,0,no_person,345,580
346,image_00346.png,0,no_person,516,387
347,image_00347.png,0,no_person,355,563
348,image_00348.png,0,no_person,378,529
349,image_00349.png,0,no_person,387,516
350,image_00350.png,0,no_person,365,548
351,image_00351.png,1,person,516,387
352,image_00352.png,1,person,361,553
353,image_00353.png,1,person,365,548
354,image_00354.png,1,person,365,548
355,image_00355.png,0,no_person,516,387
356,image_00356.png,0,no_person,387,516
357,image_00357.png,0,no_person,516,387
358,image_00358.png,0,no_person,300,400
359,image_00359.png,0,no_person,387,516
360,image_00360.png,0,no_person,387,516
361,image_00361.png,0,no_person,559,358
362,image_00362.png,1,person,516,387
363,image_00363.png,1,person,447,447
364,image_00364.png,1,person,516,387
365,image_00365.png,1,person,387,516
366,image_00366.png,0,no_person,387,517
367,image_00367.png,1,person,516,387
368,image_00368.png,0,no_person,486,412
369,image_00369.png,1,person,365,548
370,image_00370.png,0,no_person,548,365
371,image_00371.png,1,person,447,447
372,image_00372.png,0,no_person,447,447
373,image_00373.png,1,person,516,387
374,image_00374.png,0,no_person,356,254
375,image_00375.png,0,no_person,548,365
376,image_00376.png,0,no_person,387,516
377,image_00377.png,1,person,365,548
378,image_00378.png,0,no_person,364,550
379,image_00379.png,1,person,447,447
380,image_00380.png,0,no_person,400,500
381,image_00381.png,0,no_person,516,387
382,image_00382.png,0,no_person,274,730
383,image_00383.png,1,person,387,516
384,image_00384.png,1,person,387,517
385,image_00385.png,1,person,365,548
386,image_00386.png,1,person,528,379
387,image_00387.png,0,no_person,447,447
388,image_00388.png,0,no_person,365,548
389,image_00389.png,0,no_person,387,516
390,image_00390.png,0,no_person,447,447
391,image_00391.png,0,no_person,365,548
392,image_00392.png,0,no_person,382,523
393,image_00393.png,0,no_person,516,387
394,image_00394.png,0,no_person,447,447
395,image_00395.png,0,no_person,365,548
396,image_00396.png,0,no_person,333,600
397,image_00397.png,1,person,328,609
398,image_00398.png,0,no_person,366,547
399,image_00399.png,1,person,365,548
400,image_00400.png,1,person,548,365
401,image_00401.png,0,no_person,320,392
402,image_00402.png,0,no_person,387,516
403,image_00403.png,0,no_person,387,516
404,image_00404.png,0,no_person,387,516
405,image_00405.png,1,person,549,364
406,image_00406.png,1,person,387,516
407,image_00407.png,1,person,335,596
408,image_00408.png,0,no_person,516,387
409,image_00409.png,1,person,387,516
410,image_00410.png,0,no_person,532,360
411,image_00411.png,0,no_person,431,464
412,image_00412.png,1,person,364,549
413,image_00413.png,0,no_person,364,550
414,image_00414.png,0,no_person,365,548
415,image_00415.png,1,person,387,516
416,image_00416.png,0,no_person,387,516
417,image_00417.png,1,person,500,332
418,image_00418.png,1,person,365,548
419,image_00419.png,0,no_person,547,366
420,image_00420.png,0,no_person,365,548
421,image_00421.png,1,person,516,387
422,image_00422.png,0,no_person,448,446
423,image_00423.png,1,person,365,548
424,image_00424.png,1,person,391,512
425,image_00425.png,0,no_person,365,548
426,image_00426.png,1,person,364,549
427,image_00427.png,0,no_person,366,547
428,image_00428.png,1,person,366,547
429,image_00429.png,0,no_person,364,549
430,image_00430.png,0,no_person,387,516
431,image_00431.png,1,person,335,596
432,image_00432.png,0,no_person,449,445
433,image_00433.png,0,no_person,387,516
434,image_00434.png,0,no_person,387,516
435,image_00435.png,0,no_person,394,508
436,image_00436.png,1,person,364,549
437,image_00437.png,1,person,387,516
438,image_00438.png,1,person,335,596
439,image_00439.png,0,no_person,387,516
440,image_00440.png,1,person,387,516
441,image_00441.png,0,no_person,387,516
442,image_00442.png,0,no_person,387,516
443,image_00443.png,1,person,387,516
444,image_00444.png,1,person,547,365
445,image_00445.png,1,person,366,547
446,image_00446.png,0,no_person,365,548
447,image_00447.png,0,no_person,240,320
448,image_00448.png,1,person,346,577
449,image_00449.png,1,person,547,366
450,image_00450.png,1,person,387,516
451,image_00451.png,1,person,443,451
452,image_00452.png,0,no_person,387,516
453,image_00453.png,1,person,387,516
454,image_00454.png,1,person,360,556
455,image_00455.png,1,person,516,387
456,image_00456.png,0,no_person,387,516
457,image_00457.png,1,person,366,547
458,image_00458.png,0,no_person,419,477
459,image_00459.png,0,no_person,365,548
460,image_00460.png,0,no_person,365,548
461,image_00461.png,1,person,548,365
462,image_00462.png,1,person,387,516
463,image_00463.png,0,no_person,365,548
464,image_00464.png,0,no_person,387,516
465,image_00465.png,0,no_person,547,366
466,image_00466.png,0,no_person,437,458
467,image_00467.png,0,no_person,516,387
468,image_00468.png,1,person,365,548
469,image_00469.png,1,person,336,596
470,image_00470.png,0,no_person,365,548
471,image_00471.png,0,no_person,387,516
472,image_00472.png,1,person,447,447
473,image_00473.png,1,person,365,548
474,image_00474.png,0,no_person,544,368
475,image_00475.png,0,no_person,365,548
476,image_00476.png,0,no_person,335,596
477,image_00477.png,0,no_person,447,447
478,image_00478.png,1,person,548,365
479,image_00479.png,1,person,387,516
480,image_00480.png,1,person,365,548
481,image_00481.png,1,person,500,400
482,image_00482.png,0,no_person,387,516
483,image_00483.png,1,person,547,366
484,image_00484.png,1,person,365,548
485,image_00485.png,0,no_person,365,548
486,image_00486.png,0,no_person,447,447
487,image_00487.png,0,no_person,387,516
488,image_00488.png,0,no_person,387,516
489,image_00489.png,1,person,447,447
490,image_00490.png,0,no_person,387,516
491,image_00491.png,1,person,364,549
492,image_00492.png,1,person,365,548
493,image_00493.png,0,no_person,307,652
494,image_00494.png,1,person,387,516
495,image_00495.png,1,person,387,516
496,image_00496.png,1,person,363,551
497,image_00497.png,1,person,400,500
498,image_00498.png,0,no_person,439,456
499,image_00499.png,0,no_person,521,384
